[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Tag[ app_begin ] --START--
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005488s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005768s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: YES) SessionDb.class.php 第 60 行.
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | NOTIC: [2] mysql_select_db(): supplied argument is not a valid MySQL-Link resource SessionDb.class.php 第 61 行.
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | NOTIC: [2] mysql_query(): supplied argument is not a valid MySQL-Link resource SessionDb.class.php 第 91 行.
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Tag[ view_template ] --START--
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.012630s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.012868s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Tag[ view_parse ] --START--
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.049956s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.050131s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Tag[ view_filter ] --START--
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Run ContentReplace Behavior [ RunTime:0.003369s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Run TokenBuild Behavior [ RunTime:0.006533s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004869s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.004876s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.020168s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Tag[ view_template ] --START--
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.003730s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Tag[ view_template ] --END-- [ RunTime:-0.070639s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Tag[ view_parse ] --START--
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.011311s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.024432s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Tag[ view_filter ] --START--
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Run ContentReplace Behavior [ RunTime:0.006406s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000241s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000047s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000176s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.015840s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Tag[ view_end ] --START--
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.018806s ]
[ 2014-03-21T09:53:40+08:00 ] /tp_test/Index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.019076s ]
[ 2014-03-21T09:54:38+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ app_begin ] --START--
[ 2014-03-21T09:54:38+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Run ReadHtmlCache Behavior [ RunTime:0.008382s ]
[ 2014-03-21T09:54:38+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008736s ]
[ 2014-03-21T09:54:38+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: YES) SessionDb.class.php 第 60 行.
[ 2014-03-21T09:54:38+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | NOTIC: [2] mysql_select_db(): supplied argument is not a valid MySQL-Link resource SessionDb.class.php 第 61 行.
[ 2014-03-21T09:54:38+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | NOTIC: [2] mysql_query(): supplied argument is not a valid MySQL-Link resource SessionDb.class.php 第 91 行.
