[ 2014-03-22T00:07:20+08:00 ] /music/ | INFO: Tag[ app_begin ] --START--
[ 2014-03-22T00:07:20+08:00 ] /music/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.124815s ]
[ 2014-03-22T00:07:20+08:00 ] /music/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.238075s ]
[ 2014-03-22T00:07:21+08:00 ] /music/ | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: YES) SessionDb.class.php 第 60 行.
[ 2014-03-22T00:07:21+08:00 ] /music/ | NOTIC: [2] mysql_select_db() expects parameter 2 to be resource, boolean given SessionDb.class.php 第 61 行.
[ 2014-03-22T00:07:21+08:00 ] /music/ | NOTIC: [2] mysql_query() expects parameter 2 to be resource, null given SessionDb.class.php 第 91 行.
[ 2014-03-22T00:07:21+08:00 ] /music/ | INFO: Tag[ view_template ] --START--
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Run LocationTemplate Behavior [ RunTime:0.210489s ]
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.210637s ]
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Tag[ view_parse ] --START--
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Run ParseTemplate Behavior [ RunTime:0.122481s ]
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.122574s ]
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Tag[ view_filter ] --START--
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Run ContentReplace Behavior [ RunTime:0.020251s ]
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Run TokenBuild Behavior [ RunTime:0.000728s ]
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000400s ]
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000600s ]
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.022200s ]
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Tag[ view_template ] --START--
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Run LocationTemplate Behavior [ RunTime:0.020862s ]
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.145037s ]
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Tag[ view_parse ] --START--
