[ 2014-04-21T11:18:02+08:00 ] /xydj/ | INFO: Tag[ app_begin ] --START--
[ 2014-04-21T11:18:02+08:00 ] /xydj/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001326s ]
[ 2014-04-21T11:18:02+08:00 ] /xydj/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.022812s ]
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: YES) SessionDb.class.php 第 60 行.
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | NOTIC: [2] mysql_select_db() expects parameter 2 to be resource, boolean given SessionDb.class.php 第 61 行.
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | NOTIC: [2] mysql_query() expects parameter 2 to be resource, null given SessionDb.class.php 第 91 行.
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Tag[ view_template ] --START--
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001147s ]
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001288s ]
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Tag[ view_parse ] --START--
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Run ParseTemplate Behavior [ RunTime:0.012329s ]
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012522s ]
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Tag[ view_filter ] --START--
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Run ContentReplace Behavior [ RunTime:0.000635s ]
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Run TokenBuild Behavior [ RunTime:0.000731s ]
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000508s ]
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000856s ]
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003026s ]
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Tag[ view_template ] --START--
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000243s ]
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.015938s ]
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Tag[ view_parse ] --START--
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Run ParseTemplate Behavior [ RunTime:0.004696s ]
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.003740s ]
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Tag[ view_filter ] --START--
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Run ContentReplace Behavior [ RunTime:0.000156s ]
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Run TokenBuild Behavior [ RunTime:0.000234s ]
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000030s ]
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000216s ]
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.005518s ]
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Tag[ view_end ] --START--
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000822s ]
[ 2014-04-21T11:18:03+08:00 ] /xydj/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000930s ]
[ 2014-04-21T11:18:07+08:00 ] /xydj/ | INFO: Tag[ app_begin ] --START--
[ 2014-04-21T11:18:07+08:00 ] /xydj/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000936s ]
[ 2014-04-21T11:18:07+08:00 ] /xydj/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001089s ]
[ 2014-04-21T11:18:07+08:00 ] /xydj/ | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: YES) SessionDb.class.php 第 60 行.
